year,district,constituency,link,new_links
1952,BANKURA,BISHNUPUR,"https://oldelectoralrolls.wb.gov.in/PDF_LINK/1952/BANKURA/BISHNUPUR/1952---BISHNUPUR-(2173)-PART-1.pdf, https://oldelectoralrolls.wb.gov.in/PDF_LINK/1952/BANKURA/BISHNUPUR/1952---BISHNUPUR-(2173)-PART-2.pdf","https://drive.google.com/file/d/10oD-56cVndRZP-PdlgwSTaP4m2dAOVCa/view?usp=sharing, https://drive.google.com/file/d/16HNF7kbxG3FNNigxdMa3WdKo4suyy_6X/view?usp=sharing"
1952,BANKURA,SONAMUKHI,"https://oldelectoralrolls.wb.gov.in/PDF_LINK/1952/BANKURA/SONAMUKHI/1952---SONAMUKHI-(2116)-PART-1.pdf, https://oldelectoralrolls.wb.gov.in/PDF_LINK/1952/BANKURA/SONAMUKHI/1952---SONAMUKHI-(2116)-PART-2.pdf","https://drive.google.com/file/d/1JOWdj643VP4OeiJU505OUEyzqbOCNN3C/view?usp=sharing, https://drive.google.com/file/d/16LNWYImGg_cAaEk9sxPOUVAZaIr9uvfw/view?usp=sharing"
1952,BIRBHUM,BIRBHUM,https://oldelectoralrolls.wb.gov.in/PDF_LINK/1952/BIRBHUM/BIRBHUM/1952---(842).pdf,https://drive.google.com/file/d/1aRgJpQOy_X6IJW-E9rJa3q8S17eQi59c/view?usp=sharing
1952,BIRBHUM,BOLPORE,"https://oldelectoralrolls.wb.gov.in/PDF_LINK/1952/BIRBHUM/BOLPORE/1952---BOLPORE-(2345)-PART-1.pdf, https://oldelectoralrolls.wb.gov.in/PDF_LINK/1952/BIRBHUM/BOLPORE/1952---BOLPORE-(2345)-PART-2.pdf, https://oldelectoralrolls.wb.gov.in/PDF_LINK/1952/BIRBHUM/BOLPORE/1952---BOLPORE-(2345)-PART-3.pdf","https://drive.google.com/file/d/1rJTdBAD9eyfVFW2dV03kqXE9s4YzNIke/view?usp=sharing, https://drive.google.com/file/d/1EcQV-1heyckFKC5AVoaj_1W3yQx6Tlt2/view?usp=sharing, https://drive.google.com/file/d/15RUXzUBUUoDT6cJu7VnHvE-FH2FonC5y/view?usp=sharing"
1952,BIRBHUM,DUBRAJPUR THANA,https://oldelectoralrolls.wb.gov.in/PDF_LINK/1952/BIRBHUM/DUBRAJPUR%20THANA/1952---DUBRAJPUR%20THANA(1300)-(887).pdf,https://drive.google.com/file/d/1Bd0yfTiGbDby3Yv4Yw34bAcPD1g6ABDC/view?usp=sharing
1952,BIRBHUM,FARAKKA SAMSERGANJ THANA,https://oldelectoralrolls.wb.gov.in/PDF_LINK/1952/BIRBHUM/FARAKKA%20SAMSERGANJ%20THANA/1952---FARAKKA%20SAMSERGANJ%20THANA-(1270).pdf,https://drive.google.com/file/d/1wuSAIXRNX2tTW75KWZQ3ZbcXrV6aEWR_/view?usp=sharing
1952,BIRBHUM,ILAMBAZAR THANA,https://oldelectoralrolls.wb.gov.in/PDF_LINK/1952/BIRBHUM/ILAMBAZAR%20THANA/1952---ILAMBAZAR%20THANA-1200-(594).pdf,https://drive.google.com/file/d/1tsFELzDgCxKRqQNpGz_oSBeI0ElZZdpO/view?usp=sharing
1952,BIRBHUM,KALIACHALK THANA,"https://oldelectoralrolls.wb.gov.in/PDF_LINK/1952/BIRBHUM/KALIACHALK%20THANA/1952---KALIACHALK%20THANA-(%201426)-PART-1.pdf, https://oldelectoralrolls.wb.gov.in/PDF_LINK/1952/BIRBHUM/KALIACHALK%20THANA/1952---KALIACHALK%20THANA-(%201426)-PART-2.pdf","https://drive.google.com/file/d/1fkgTUMEe_qZ1d-asHhyCOEK6YieBrFUc/view?usp=sharing, https://drive.google.com/file/d/1Wdr2CcpwZK2y27W-QyWtLSRhl4bbxnsD/view?usp=sharing"
1952,BIRBHUM,KHAYRASOL,https://oldelectoralrolls.wb.gov.in/PDF_LINK/1952/BIRBHUM/KHAYRASOL/1952---KHAYRASOL-(1066).pdf,https://drive.google.com/file/d/1AYot48hMVcTmb-QvTRHguYGAsYJh6F9K/view?usp=sharing
1952,BIRBHUM,KHAYRASOL THANA,https://oldelectoralrolls.wb.gov.in/PDF_LINK/1952/BIRBHUM/KHAYRASOL%20THANA/1952---KHAYRASOL%20THANA-1400-(667).pdf,https://drive.google.com/file/d/1BvVq4gTC644x1xh0B2rO37W4GUOef_HY/view?usp=sharing
